name,price,category
Wireless Mouse,29.99,Electronics
Mechanical Keyboard,89.99,Electronics
4K Monitor,349.99,Electronics
USB-C Hub,49.99,Electronics
Webcam HD,79.99,Electronics
Winter Jacket,129.99,Clothing
Running Shoes,89.99,Sports
Yoga Mat,24.99,Sports
Programming in Python,39.99,Books
Data Structures Guide,44.99,Books
Garden Hose,34.99,Home & Garden
LED Desk Lamp,54.99,Home & Garden
Remote Control Car,49.99,Toys
Board Game Collection,39.99,Toys
Car Phone Mount,19.99,Automotive
Car Air Freshener,9.99,Automotive
Vitamin Supplements,29.99,Health & Beauty
Facial Cleanser,19.99,Health & Beauty
Bluetooth Speaker,59.99,Electronics
Power Bank,39.99,Electronics
